product_id,product_name,category,brand,unit_price,currency,active_flag
P000001,Football,Sports,Puma,52.56,GBP,Y
P000002,Dumbbells,Sports,Adidas,33.89,GBP,Y
P000003,Dining Table,Home,Bosch,1383.72,GBP,Y
P000004,Dress,Clothing,Zara,21.39,GBP,Y
P000005,Monitor,Electronics,LG,1269.29,USD,Y
P000006,Sneakers,Clothing,Puma,105.02,EUR,Y
P000007,Chair,Home,IKEA,462.69,USD,Y
P000008,Coffee Machine,Home,Dyson,465.14,GBP,Y
P000009,Jeans,Clothing,Zara,209.87,GBP,Y
P000010,Jacket,Clothing,Zara,24.31,GBP,Y
P000011,Jeans,Clothing,Nike,273.21,EUR,Y
P000012,Body Lotion,Beauty,Nivea,98.41,USD,Y
P000013,Coffee Machine,Home,Siemens,626.06,EUR,Y
P000014,T-Shirt,Clothing,Adidas,153.82,USD,Y
P000015,Tablet,Electronics,Samsung,980.42,USD,Y
P000016,Coffee Machine,Home,Bosch,1071.1,GBP,Y
P000017,Jacket,Clothing,Zara,28.05,USD,Y
P000018,Chair,Home,Bosch,1463.0,EUR,Y
P000019,Perfume,Beauty,Garnier,166.46,USD,Y
P000020,Keyboard,Electronics,Samsung,1449.23,EUR,Y
P000021,Shampoo,Beauty,Garnier,212.59,USD,Y
P000022,Dress,Clothing,Zara,24.1,GBP,Y
P000023,Lipstick,Beauty,Garnier,64.65,USD,Y
P000024,Desk,Home,IKEA,1493.34,USD,Y
P000025,Vacuum Cleaner,Home,Siemens,1366.88,EUR,Y
P000026,Smartphone,Electronics,Apple,1002.98,USD,N
P000027,Chair,Home,IKEA,639.25,GBP,Y
P000028,Shampoo,Beauty,Maybelline,41.15,EUR,Y
P000029,Lipstick,Beauty,Nivea,245.74,EUR,N
P000030,Dining Table,Home,IKEA,1074.59,EUR,Y
P000031,T-Shirt,Clothing,Adidas,143.25,USD,Y
P000032,T-Shirt,Clothing,Adidas,231.75,EUR,N
P000033,Running Shoes,Sports,Garmin,114.76,GBP,Y
P000034,Monitor,Electronics,Sony,152.93,GBP,Y
P000035,Sneakers,Clothing,H&M,178.74,USD,N
P000036,Shampoo,Beauty,Nivea,163.04,GBP,Y
P000037,Chair,Home,Siemens,223.47,GBP,N
P000038,Desk,Home,Siemens,536.27,USD,Y
P000039,Desk,Home,Dyson,642.49,EUR,Y
P000040,Perfume,Beauty,L'Oreal,110.02,EUR,Y
P000041,Tablet,Electronics,Samsung,482.59,EUR,Y
P000042,Dining Table,Home,Siemens,331.37,GBP,Y
P000043,Jeans,Clothing,Zara,302.13,USD,Y
P000044,Sneakers,Clothing,Zara,32.61,USD,Y
P000045,Face Cream,Beauty,Dove,57.45,GBP,Y
P000046,Tablet,Electronics,Lenovo,860.59,USD,N
P000047,Dress,Clothing,Zara,16.15,USD,Y
P000048,Mouse,Electronics,LG,2024.44,USD,Y
P000049,Dress,Clothing,Adidas,124.83,USD,N
P000050,Jeans,Clothing,Adidas,224.93,GBP,Y
P000051,T-Shirt,Clothing,Puma,276.07,GBP,N
P000052,Dress,Clothing,Puma,69.55,USD,Y
P000053,Desk,Home,Siemens,1037.15,GBP,Y
P000054,Yoga Mat,Sports,Nike,593.75,USD,N
P000055,Mouse,Electronics,Apple,1589.95,GBP,Y
P000056,Perfume,Beauty,Maybelline,22.09,EUR,Y
P000057,Jacket,Clothing,Nike,288.52,GBP,Y
P000058,Laptop,Electronics,Samsung,1908.91,GBP,Y
P000059,Yoga Mat,Sports,Reebok,684.43,EUR,Y
P000060,Coffee Machine,Home,Siemens,1206.32,USD,Y
P000061,Body Lotion,Beauty,Garnier,153.68,EUR,Y
P000062,Face Cream,Beauty,Dove,136.52,USD,Y
P000063,Sneakers,Clothing,H&M,57.02,EUR,Y
P000064,Dumbbells,Sports,Reebok,106.91,USD,Y
P000065,T-Shirt,Clothing,Zara,217.36,EUR,Y
P000066,T-Shirt,Clothing,Adidas,312.45,USD,Y
P000067,Headphones,Electronics,LG,2051.13,EUR,Y
P000068,Smartphone,Electronics,Lenovo,1041.29,EUR,Y
P000069,Mouse,Electronics,Lenovo,356.32,GBP,Y
P000070,Coffee Machine,Home,Dyson,238.92,EUR,Y
P000071,Sneakers,Clothing,H&M,76.8,USD,Y
P000072,Fitness Tracker,Sports,Garmin,156.6,USD,Y
P000073,Dress,Clothing,Puma,172.75,GBP,Y
P000074,Dumbbells,Sports,Adidas,529.68,GBP,Y
P000075,T-Shirt,Clothing,Nike,222.61,EUR,Y
P000076,Lipstick,Beauty,Dove,124.79,USD,Y
P000077,Jacket,Clothing,H&M,162.74,USD,N
P000078,Running Shoes,Sports,Adidas,650.74,EUR,Y
P000079,Sneakers,Clothing,Nike,169.95,EUR,Y
P000080,Laptop,Electronics,Sony,195.17,USD,Y
P000081,Jacket,Clothing,Nike,154.16,USD,Y
P000082,Headphones,Electronics,Samsung,899.9,EUR,Y
P000083,T-Shirt,Clothing,Nike,98.97,USD,Y
P000084,Chair,Home,Dyson,476.08,EUR,Y
P000085,Sneakers,Clothing,Zara,113.02,EUR,Y
P000086,Headphones,Electronics,Sony,1825.86,USD,Y
P000087,Perfume,Beauty,Dove,121.29,USD,Y
P000088,Fitness Tracker,Sports,Garmin,253.02,EUR,Y
P000089,Fitness Tracker,Sports,Nike,70.75,USD,Y
P000090,Dress,Clothing,Nike,246.85,EUR,Y
P000091,Coffee Machine,Home,Philips,1463.23,USD,Y
P000092,Face Cream,Beauty,Nivea,147.26,GBP,N
P000093,Dumbbells,Sports,Puma,12.26,GBP,Y
P000094,Dining Table,Home,Bosch,259.35,GBP,Y
P000095,Face Cream,Beauty,Maybelline,213.76,EUR,Y
P000096,Vacuum Cleaner,Home,Bosch,858.51,USD,N
P000097,Sneakers,Clothing,H&M,279.07,EUR,Y
P000098,Fitness Tracker,Sports,Garmin,313.03,USD,Y
P000099,Sneakers,Clothing,Nike,296.57,EUR,Y
P000100,Tablet,Electronics,Lenovo,1022.84,USD,Y
P000101,Vacuum Cleaner,Home,Siemens,1230.45,GBP,Y
P000102,Coffee Machine,Home,Philips,1461.97,EUR,Y
P000103,Fitness Tracker,Sports,Garmin,216.7,GBP,Y
P000104,Perfume,Beauty,L'Oreal,228.45,USD,N
P000105,Dress,Clothing,Nike,284.88,EUR,Y
P000106,Football,Sports,Nike,446.96,USD,Y
P000107,T-Shirt,Clothing,Puma,132.89,USD,Y
P000108,Chair,Home,Philips,337.15,EUR,Y
P000109,Face Cream,Beauty,Maybelline,110.0,EUR,Y
P000110,Mouse,Electronics,Lenovo,277.97,USD,Y
P000111,Shampoo,Beauty,Garnier,193.68,EUR,Y
P000112,Jeans,Clothing,Zara,29.95,USD,Y
P000113,Desk,Home,Bosch,922.67,GBP,Y
P000114,Dining Table,Home,Philips,1058.82,USD,Y
P000115,Vacuum Cleaner,Home,Philips,596.75,GBP,Y
P000116,Yoga Mat,Sports,Puma,329.0,GBP,Y
P000117,Monitor,Electronics,Lenovo,1359.76,GBP,Y
P000118,Body Lotion,Beauty,Dove,178.74,GBP,Y
P000119,Lipstick,Beauty,Maybelline,83.4,USD,Y
P000120,Monitor,Electronics,LG,708.65,EUR,Y
P000121,Mouse,Electronics,Samsung,1763.62,EUR,Y
P000122,Perfume,Beauty,Maybelline,44.85,GBP,Y
P000123,Headphones,Electronics,Apple,767.46,EUR,N
P000124,T-Shirt,Clothing,H&M,198.32,EUR,Y
P000125,Coffee Machine,Home,Bosch,576.35,USD,Y
P000126,Desk,Home,Bosch,1187.23,GBP,Y
P000127,T-Shirt,Clothing,Puma,77.49,EUR,Y
P000128,Dumbbells,Sports,Garmin,335.92,USD,Y
P000129,Running Shoes,Sports,Reebok,368.6,EUR,N
P000130,Face Cream,Beauty,L'Oreal,152.63,USD,Y
P000131,Body Lotion,Beauty,L'Oreal,56.69,USD,Y
P000132,Laptop,Electronics,LG,1151.78,EUR,Y
P000133,Vacuum Cleaner,Home,Philips,861.33,GBP,Y
P000134,Monitor,Electronics,LG,809.42,GBP,Y
P000135,Yoga Mat,Sports,Adidas,146.46,EUR,Y
P000136,Running Shoes,Sports,Garmin,276.05,GBP,Y
P000137,Fitness Tracker,Sports,Nike,194.42,EUR,Y
P000138,Mouse,Electronics,LG,1963.89,EUR,Y
P000139,Headphones,Electronics,Lenovo,2079.64,USD,N
P000140,Jeans,Clothing,Puma,220.57,EUR,Y
P000141,Chair,Home,Philips,724.82,GBP,N
P000142,Dress,Clothing,H&M,71.49,EUR,Y
P000143,Keyboard,Electronics,LG,1277.92,EUR,Y
P000144,Smartphone,Electronics,Apple,252.09,GBP,Y
P000145,Yoga Mat,Sports,Puma,408.27,USD,N
