exchange_date,EUR,USD,GBP
2024-08-01,1.0,1.1045,0.9006
2024-08-02,1.0,1.0878,0.931
2024-08-03,1.0,1.171,0.9018
2024-08-04,1.0,1.1665,0.8398
2024-08-05,1.0,1.1196,0.8982
2024-08-06,1.0,1.0602,0.8344
2024-08-07,1.0,1.1217,0.9459
2024-08-08,1.0,1.1215,0.9469
2024-08-09,1.0,1.0657,0.8724
2024-08-10,1.0,1.137,0.852
2024-08-11,1.0,1.1889,0.9218
2024-08-12,1.0,1.1046,0.8722
2024-08-13,1.0,1.1998,0.882
2024-08-14,1.0,1.0952,0.8612
2024-08-15,1.0,1.1812,0.8715
2024-08-16,1.0,1.1673,0.8977
2024-08-17,1.0,1.0523,0.9322
2024-08-18,1.0,1.0731,0.8806
2024-08-19,1.0,1.1411,0.9474
2024-08-20,1.0,1.1749,0.8884
2024-08-21,1.0,1.0818,0.8672
2024-08-22,1.0,1.1845,0.9019
2024-08-23,1.0,1.0626,0.908
2024-08-24,1.0,1.1946,0.9388
2024-08-25,1.0,1.1367,0.8933
2024-08-26,1.0,1.1963,0.9257
2024-08-27,1.0,1.0697,0.9425
2024-08-28,1.0,1.1626,0.8445
2024-08-29,1.0,1.0672,0.9368
2024-08-30,1.0,1.0631,0.8291
2024-08-31,1.0,1.0929,0.8342
2024-09-01,1.0,1.056,0.9411
2024-09-02,1.0,1.0942,0.9368
2024-09-03,1.0,1.0618,0.8454
2024-09-04,1.0,1.0645,0.875
2024-09-05,1.0,1.1129,0.9254
2024-09-06,1.0,1.0975,0.8368
2024-09-07,1.0,1.0818,0.9249
2024-09-08,1.0,1.1411,0.867
2024-09-09,1.0,1.0928,0.913
2024-09-10,1.0,1.1848,0.8282
2024-09-11,1.0,1.1521,0.8975
2024-09-12,1.0,1.0737,0.8358
2024-09-13,1.0,1.1994,0.85
2024-09-14,1.0,1.0751,0.8378
2024-09-15,1.0,1.1007,0.8346
2024-09-16,1.0,1.1038,0.8287
2024-09-17,1.0,1.129,0.8844
2024-09-18,1.0,1.066,0.9275
2024-09-19,1.0,1.0974,0.9037
2024-09-20,1.0,1.0738,0.8343
2024-09-21,1.0,1.1016,0.8889
2024-09-22,1.0,1.0934,0.9344
2024-09-23,1.0,1.0883,0.9293
2024-09-24,1.0,1.0936,0.9296
2024-09-25,1.0,1.1662,0.8642
2024-09-26,1.0,1.1683,0.9319
2024-09-27,1.0,1.1819,0.8702
2024-09-28,1.0,1.1825,0.9284
2024-09-29,1.0,1.1721,0.9436
2024-09-30,1.0,1.1127,0.8394
2024-10-01,1.0,1.1512,0.8908
2024-10-02,1.0,1.1654,0.8755
2024-10-03,1.0,1.0582,0.8401
2024-10-04,1.0,1.0708,0.9328
2024-10-05,1.0,1.1364,0.9171
2024-10-06,1.0,1.1741,0.8349
2024-10-07,1.0,1.1447,0.9466
2024-10-08,1.0,1.1304,0.8864
2024-10-09,1.0,1.1206,0.9383
2024-10-10,1.0,1.1416,0.8977
2024-10-11,1.0,1.0989,0.853
2024-10-12,1.0,1.1497,0.8779
2024-10-13,1.0,1.0785,0.835
2024-10-14,1.0,1.1045,0.844
2024-10-15,1.0,1.103,0.8694
2024-10-16,1.0,1.1102,0.8666
2024-10-17,1.0,1.0875,0.9474
2024-10-18,1.0,1.0902,0.8288
2024-10-19,1.0,1.1595,0.9065
2024-10-20,1.0,1.124,0.8604
2024-10-21,1.0,1.1627,0.8606
2024-10-22,1.0,1.0609,0.9452
2024-10-23,1.0,1.0747,0.8992
2024-10-24,1.0,1.1948,0.9176
2024-10-25,1.0,1.0811,0.8814
2024-10-26,1.0,1.1092,0.9089
2024-10-27,1.0,1.1894,0.8908
2024-10-28,1.0,1.1446,0.9351
2024-10-29,1.0,1.1839,0.8312
2024-10-30,1.0,1.1247,0.9195
2024-10-31,1.0,1.0547,0.8783
2024-11-01,1.0,1.1354,0.933
2024-11-02,1.0,1.0776,0.8539
2024-11-03,1.0,1.1565,0.8583
2024-11-04,1.0,1.1546,0.8257
2024-11-05,1.0,1.0703,0.8399
2024-11-06,1.0,1.1216,0.8619
2024-11-07,1.0,1.158,0.9309
2024-11-08,1.0,1.1935,0.8758
2024-11-09,1.0,1.0928,0.8235
2024-11-10,1.0,1.0632,0.8252
2024-11-11,1.0,1.1831,0.9124
2024-11-12,1.0,1.0551,0.9002
2024-11-13,1.0,1.167,0.9034
2024-11-14,1.0,1.0774,0.8485
2024-11-15,1.0,1.1934,0.9436
2024-11-16,1.0,1.0827,0.8862
2024-11-17,1.0,1.0674,0.9326
2024-11-18,1.0,1.0881,0.9169
2024-11-19,1.0,1.0628,0.9364
2024-11-20,1.0,1.116,0.831
2024-11-21,1.0,1.1807,0.9342
2024-11-22,1.0,1.1397,0.8903
2024-11-23,1.0,1.1606,0.9232
2024-11-24,1.0,1.1706,0.8879
2024-11-25,1.0,1.1348,0.9379
2024-11-26,1.0,1.1186,0.9174
2024-11-27,1.0,1.165,0.9201
2024-11-28,1.0,1.1279,0.9457
2024-11-29,1.0,1.0794,0.8691
2024-11-30,1.0,1.1111,0.9386
2024-12-01,1.0,1.1972,0.947
2024-12-02,1.0,1.077,0.8376
2024-12-03,1.0,1.091,0.8465
2024-12-04,1.0,1.153,0.9285
2024-12-05,1.0,1.1283,0.9473
2024-12-06,1.0,1.1,0.8652
2024-12-07,1.0,1.1217,0.8678
2024-12-08,1.0,1.1934,0.9227
2024-12-09,1.0,1.17,0.9404
2024-12-10,1.0,1.0582,0.8311
2024-12-11,1.0,1.0507,0.8231
2024-12-12,1.0,1.1715,0.9114
2024-12-13,1.0,1.1698,0.9025
2024-12-14,1.0,1.0939,0.8436
2024-12-15,1.0,1.1495,0.9459
2024-12-16,1.0,1.1361,0.8947
2024-12-17,1.0,1.1339,0.9345
2024-12-18,1.0,1.178,0.8521
2024-12-19,1.0,1.0806,0.899
2024-12-20,1.0,1.1828,0.9154
2024-12-21,1.0,1.1656,0.9015
2024-12-22,1.0,1.1017,0.8475
2024-12-23,1.0,1.133,0.8881
2024-12-24,1.0,1.1205,0.8894
2024-12-25,1.0,1.161,0.8287
2024-12-26,1.0,1.0861,0.9258
2024-12-27,1.0,1.068,0.9425
2024-12-28,1.0,1.1811,0.8956
2024-12-29,1.0,1.0959,0.9156
2024-12-30,1.0,1.1988,0.9448
2024-12-31,1.0,1.1011,0.9369
2025-01-01,1.0,1.1587,0.9235
2025-01-02,1.0,1.0515,0.8718
2025-01-03,1.0,1.0875,0.8713
2025-01-04,1.0,1.0796,0.8998
2025-01-05,1.0,1.1812,0.9405
2025-01-06,1.0,1.1597,0.9344
2025-01-07,1.0,1.137,0.8961
2025-01-08,1.0,1.1329,0.8651
2025-01-09,1.0,1.1341,0.9264
2025-01-10,1.0,1.1838,0.9143
2025-01-11,1.0,1.1588,0.8576
2025-01-12,1.0,1.0977,0.8378
2025-01-13,1.0,1.1063,0.8735
2025-01-14,1.0,1.0581,0.8599
2025-01-15,1.0,1.1825,0.9004
2025-01-16,1.0,1.1233,0.9038
2025-01-17,1.0,1.1766,0.8603
2025-01-18,1.0,1.1015,0.9371
2025-01-19,1.0,1.127,0.8235
